Address 3,Address 4,Postcode,Latitude,Longitude
 , ,SW1V 3QW,51.4873103,-0.1340352
St Helier,Jersey,JE2 3TF,49.2003263,-2.1231243
 , ,N13 4TJ,51.6097324,-0.1120205
London, ,NW8 8QT,51.5275331,-0.1734062
 , ,E13 0QB,51.5363501,0.026714
Germany, ,81375,48.1204804,11.4923733
 , ,SW7 5BG,51.4961609,-0.1799334
 , , ,40.7127837,-74.0059413
 , ,SW6 2TW,51.472969,-0.182239
London, ,W2 2LA,51.5128357,-0.1668315
 , ,SE18 1RL,51.4833807,0.0868303
 , ,SE1 5PY,51.4919463,-0.0709808
Douglas,Isle of Man,IM1 1JD,40.7127837,-74.0059413
 , ,N2 0BD,51.5788212,-0.1713794
77-85 Fulham Palace Rd,London,W6 8JA,51.4887766,-0.2226152
PO Box 59280,1040 KG Amsterdam, ,52.352408,4.8071601
 , ,EC2R 7HF,51.5150448,-0.0877904
 , ,SW5 0HH,51.4918073,-0.1897295
 , ,W1K 2ET,51.5107277,-0.1499829
Stafford Park 1,Telford,TF3 3BD,40.7127837,-74.0059413
 , , ,40.7127837,-74.0059413
 , , ,40.7127837,-74.0059413
 , ,W12 9HS,51.5054435,-0.2365962
 , ,W1J 5PA,51.5071987,-0.1468836
London, ,W6 0LF,51.4961937,-0.2446174
London, ,W10 4AN,51.5317467,-0.2140399
London, ,W1 ,51.5207454,-0.1585413
 , ,SW1W 9HR,51.4953363,-0.1507935
Maidenhead, ,SLG 4LL,40.7127837,-74.0059413
London, ,W1W 5QZ,51.521464,-0.1431045
 , , ,40.7127837,-74.0059413
 , , ,40.7127837,-74.0059413
Surrey, ,KT14 6NB,51.3385091,-0.5037139
Tadworth,Surrey,KT20 7HZ,51.2583155,-0.2352195
Chesterfield, ,S40 4RU,53.243823,-1.4398355
 , ,N2 9QH,51.5873199,-0.1610777
 , ,E2 9BL,51.5329277,-0.063467
 , ,SW1X 8QR,51.500285,-0.1526823
 , ,W1H 2EJ,51.5190131,-0.1627782
 , ,NW3 6YA,51.5546496,-0.1829514
Essex, ,RM11 3RR,51.5783792,0.2373071
Spain, , ,40.463667,-3.74922
 , , ,40.7127837,-74.0059413
London, ,SW5 0PD,51.4925013,-0.1898317
London, ,E9 7QH,51.5399676,-0.0541553
 , ,WD17 1PA,51.6621316,-0.3950481
Surrey, ,KT23 4ER,51.2827854,-0.3646993
 , ,N17 9PR,51.5867793,-0.0582909
 , ,SW4 0NP,51.4640611,-0.1468609
CB1 7AF, , ,52.1876701,0.1405585
Hitchin, ,SG5 4AB,52.0150926,-0.2208825
 , , ,40.7127837,-74.0059413
 , ,N9 6BX,31.4705486,-7.3940083
 , ,HA4 0SG,51.5618822,-0.3946413
Hampsted Heath, ,NW3 2HY,51.5549196,-0.1541624
 , ,E12 6AA,51.5493577,0.0466777
Serbia, ,21000,44.016521,21.005859
 , ,W8 5UG,51.4967348,-0.1897072
Spain, ,28046,40.4731818,-3.6864121
Zurich,Switzerland,8008,47.359081,8.5529168
 , ,W2 3DP,51.5138208,-0.1804258
 , ,HA6 2GB,51.6098723,-0.4304842
 , ,SE4 2PT,51.4609628,-0.0425317
 ,London,SE16 7LX,51.4978943,-0.0333138
 , ,WC1H 0LL,51.5234154,-0.1261449
 , ,SW6 5LB,51.473032,-0.2103006
 , ,N5 2HJ,29.0946277,70.9023768
London, ,SW7 5DN,51.5007766,-0.1818387
 , ,SE22 9JH,51.4524378,-0.0723877
Camberwell, ,SE5 7HS,51.4782462,-0.0926998
East Yorkshire, ,HU14 3JT,53.7251916,-0.5044235
 , ,SE1 2NE,51.5024924,-0.0735758
 , ,W8 7LN,51.5065514,-0.1947506
 , ,NW11 8AA,51.5686675,-0.1968653
Woking, ,GU24 0LR,51.2927735,-0.6455534
 , ,NW8 9BB,51.53328,-0.1734435
 , , ,40.7127837,-74.0059413
 , ,NW1 8HJ,51.5440213,-0.1513442
Birmingham, ,B15 2QU,52.455844,-1.9379868
 , ,W10 6PQ,33.6286883,-91.9356685
 , ,SW6 3UE,51.4673289,-0.2101782
 , ,SW6 6RU,51.4754218,-0.2024825
 , ,N20 8EL,51.6287493,-0.1918688
London, ,NW3 5TH,51.5501985,-0.1789026
Switzerland, , ,46.818188,8.227512
 , ,W2 2PS,51.5158149,-0.1681532
 , ,SW6 2HJ,51.4783588,-0.1911693
 , ,TW7 6HQ,51.4669973,-0.3417385
 , ,SE27 9ED,51.4373305,-0.0993973
London, ,W8 5BD,51.5015079,-0.1889993
London, , ,51.5073509,-0.1277583
London, ,W1U 4BY,51.5187755,-0.1533756
 , ,UB1 3QQ,51.5123905,-0.3667375
 , ,EC4Y 1EL,51.5139893,-0.1064266
London, ,SE16 5FT,51.5065225,-0.0351759
 , ,W11 3RJ,51.507698,-0.2003109
 , ,SW5 0NU,51.4933364,-0.1885885
Ayrshire, ,KA22 8AY,55.642556,-4.8024053
 , , ,40.7127837,-74.0059413
London, ,SW20 8LA,51.4111906,-0.2114942
Kent, , ,41.1536674,-81.3578859
Middlesex, ,TW8 9FQ,51.4908135,-0.3029355
 , , ,40.7127837,-74.0059413
60157, , ,40.7127837,-74.0059413
 , ,KT7 0UL,51.386008,-0.326933
CA 94595,USA, ,37.8655663,-122.0666997
 , ,SW18 3DN,51.4509776,-0.1813567
 , ,ME4 5PT,51.3750558,0.5297677
 , ,SW13 0BS,51.4726842,-0.2389972
 , ,SW6 4SW,51.4734541,-0.1967631
Area 524 SAR,Kingdom of Bahrain, ,28.5609221,77.1674772
 , ,E14 9PJ,51.5061966,-0.005217
Deria City Center,Dubai UAE, ,25.2519659,55.3328027
London, ,NW3 2HX,51.5543062,-0.154043
 , ,E1 4EY,51.5199058,-0.0509457
 , ,SW3 4HS,51.484311,-0.1633523
Italy, ,20151,45.4978776,9.107208
 , ,N1 9BG,51.5317823,-0.1190826
 , ,W2 4ER,51.5111143,-0.1944117
 , ,NW8 0LL,51.5345125,-0.1786925
London, ,SE17 1PR,51.4935069,-0.0932729
 , ,NW6 6EX,51.533954,-0.2078257
 , ,W3 6AS,51.5079589,-0.2684176
Abu Dhabi,U.A.E.,55016,40.7127837,-74.0059413
London, ,W1K 3ND,51.5104517,-0.1478757
Essex, ,IG9 5JT,51.6256063,0.0295769
 , ,W6 9LS,51.4920753,-0.237429
 , ,W2 6DY,51.5153927,-0.181473
London , ,SE4 2EE,51.4662693,-0.0501368
 , ,SW13 9LD,51.4736231,-0.2482486
 , ,W8 4SA,51.5061696,-0.192734
 , ,SW7 1DY,51.5004417,-0.1649515
 , , ,40.7127837,-74.0059413
 , ,W2 2QL,51.5157476,-0.1649995
Surrey, ,TW10 7BS,51.4383474,-0.3065038
Uxbridge, ,UB8 3SU,51.5221572,-0.4798868
world trade centre roundabout ,Dubai UAE, ,25.225337,55.28523
 , ,SW3 2DD,51.4960382,-0.1691622
London, ,NW8 7QH,51.5366798,-0.1631339
 , ,E17 6EY,51.5894977,-0.0330702
 , ,NW6 7HY,51.5412703,-0.1976168
Jeddah,Saudi Arabia,1555,21.2763185,40.4142973
 , , ,40.7127837,-74.0059413
St Peterbury,Florida, ,40.7127837,-74.0059413
Germany, , ,51.165691,10.451526
Bucks, ,HP6 6LW,51.678856,-0.589012
London, ,W1S 3AE,51.510632,-0.1405187
 , ,W8 7EW,51.503817,-0.1999739
Fryening Ingatestone,Essex,CM4 0NP,51.6777138,0.3558478
 , ,W1K 6WE,51.5133519,-0.1533067
Cambs,CB1 3DN, ,52.1979923,0.1514587
 , , ,40.7127837,-74.0059413
Starokadialovskaya Street,Moscow Russia,117628,40.7127837,-74.0059413
 , ,SW1X 7XW,51.5022009,-0.153282
Aylesbury, ,HP18 0EP,51.8237954,-0.9175079
Louisiana,USA,70002,40.7127837,-74.0059413
Co.Cork,Ireland, ,40.7127837,-74.0059413
West Runton, ,NR27 9QL,52.9362562,1.247626
 , ,E9 6PG,51.5463098,-0.0526732
 , ,NW11 9RS,51.5717902,-0.2081707
 , ,EC1M 4NL,51.5218083,-0.1033634
 , ,EC1M 4NL,51.5218083,-0.1033634
London, ,N2 0BA,51.5805248,-0.1693337
 , ,W1K 5DB,51.5130332,-0.147353
 , , ,40.7127837,-74.0059413
London, ,WC1N 2PH,51.522944,-0.1163619
 , , ,40.7127837,-74.0059413
Coleridge House,London,SW10 0RR,51.4804247,-0.1863638
1 Albert Embankment,London,SE1 7XN,51.4941158,-0.1206731
 , ,W6 9RH,51.4854602,-0.224534
DAIRE 24,ISTANBUL/TURKEY,34540,41.2192149,28.4652769
 , ,E8 4AU,51.543538,-0.0765298
 , ,W1B 1PN,51.5180354,-0.1446565
 , ,W1B 1PN,51.5180354,-0.1446565
 , ,W1K 5JF,51.5136001,-0.1485118
Hishway,The Gambia, ,13.418827,-16.7342209
 , ,W1H 1JR,51.5194035,-0.1624454
London, ,W8 7JB,51.5024683,-0.1951645
London, ,W1J 6BD,51.5098781,-0.1445844
 , ,E13 0DD,51.5284176,0.0194703
88 Des Voeux Road,Central Hong Kong, ,22.2846775,114.1554175
Cabo Frio Rio de Janeiro,cep 28907-020,Brazil,-22.8806626,-42.0150262
George Town,Grand Cayman,KY1-1106,40.7127837,-74.0059413
California,USA,95110,40.7127837,-74.0059413
 , ,W2 3AA,51.5131802,-0.1826132
Office 44,Trypiotis P.C 1066,Cyprus,40.7127837,-74.0059413
London , ,NW6 1QX,51.5510522,-0.1934078
 , ,W1F 9BN,51.512883,-0.1390002
222 Regent St,London,W1B 5TR,51.5136494,-0.1402477
 , ,WC1R 4AE,51.5195493,-0.1167278
Circus Road,London,NW8 9EU,51.5324298,-0.1742458
 , ,SW6 3JH,51.4709339,-0.2106995
 , ,SW1W 0RB,51.4978465,-0.144612
 , ,W4 2MW,21.0385026,75.8525155
Victoria 3004,Australia, ,40.7127837,144.9804594
 , ,W1S 4LP,51.5083973,-0.1419354
Frimley ,Surrey,GU1 7ER,40.7127837,-74.0059413
CA USA, ,90007,40.7127837,-74.0059413
London, ,E1 6QJ,51.5196036,-0.0729259
 , ,W1K 1RB,51.5060512,-0.1510946
 , ,SW1X 8SA,51.5011746,-0.1549228
 , ,W1H 2DD,51.5179623,-0.1622872
 , ,KT2 5SU,51.4227754,-0.3042172
London, ,W1J 6EJ ,51.5106659,-0.1460656
Woking, ,GU22 7PB,51.3170519,-0.5588265
London, ,NW11 6JP,51.5854987,-0.1815477
London, ,BR6 6HY,51.3593674,0.0934411
 , ,W1K 3SQ,51.5108664,-0.1490838
 , ,W1K 3SQ,51.5108664,-0.1490838
London, ,W1U 6RP,51.5211137,-0.1573891
Notttingham, ,NG2 6QS,52.9230697,-1.1070944
 , ,WC1A 1NU,51.5170172,-0.1236113
London, ,W1J 6BX,51.5098781,-0.1445844
Doha,Qatar, ,25.2854473,51.5310398
 , ,NW6 3SH,51.5428457,-0.1814171
London, ,W1k 4HX,51.5123125,-0.149544
Angola, , ,-11.202692,17.873887
 , , ,40.7127837,-74.0059413
London, ,SW7 3QF,51.4912139,-0.1792806
 , ,SE5 8LZ,51.4704725,-0.0786829
 , ,SE8 3NY,51.4808467,-0.0263676
London, ,WD4 8AU,51.7263825,-0.4563667
London, ,SW7 5QX,51.4934873,-0.1797518
 , ,SW5 9ST,51.4914132,-0.193332
 , ,TW9 1AW,51.4613771,-0.2990584
London, ,NW8 7RJ,51.5279975,-0.1645646
London, ,N4 3NP,51.5628003,-0.1080786
London, ,EC1V 8BW,51.5285564,-0.0941589
 , ,W9 1JR,51.5294624,-0.1864774
 , ,W4 5JL,51.4986475,-0.2638721
London , ,W14 8RN,51.4956448,-0.2083202
CA 92129,USA, ,40.7127837,-74.0059413
Sao Paulo-sp,Brazil,04514-032,-23.6032967,-46.6733067
 , ,SW5 0HH,51.4918073,-0.1897295
 , ,E14 5SG,51.5049672,-0.009608
London, ,NW10 3RX,51.5414743,-0.2352903
London, ,W3 7FF,51.5091958,-0.2511789
Waresley,Sandy Beds,SG19 3DD,52.1707398,-0.1856226
 , ,W1W 4AG,51.5195219,-0.1417251
 , ,W11 2YU,36.8989131,-81.3307317
Glasgow, ,G3 8AE,55.8675047,-4.2919939
 , ,SW19 6SP,51.4459358,-0.2137203
 , ,NW1 5QR,51.5194882,-0.1655554
 , ,W14 8DS,51.5031374,-0.2090349
Russia, , ,61.52401,105.318756
 , ,L4 3UA,53.4413838,-2.9765964
 , ,N22 6JL,51.5972766,-0.0974631
 , ,EC1N 4NL,51.5195564,-0.1093781
London, ,W1S 3PP,51.5114224,-0.1404576
 , , ,40.7127837,-74.0059413
 , , ,40.7127837,-74.0059413
18 Saint George Wharf,London,SW8 2LP,51.4850241,-0.1271814
London, ,E16 1NS,51.5140239,0.0171762
 , ,SW6 3SN,51.4732948,-0.1934287
London , ,SW15 2TH,51.4597456,-0.213541
 , ,SW2 2BJ,51.4526773,-0.1181186
3rd Floor-East Wing,57 Berkeley Square,W1J 6ER,40.7127837,-74.0059413
London, ,SW9 7PT,51.4642012,-0.1111229
Mayfair, ,W1J 5JA,51.5066129,-0.1502217
 , ,SE16 5HD,51.5004255,-0.0330319
London, ,SW19 8SJ,51.4248918,-0.1872687
London, ,SW8 2LR,51.4860077,-0.1256624
 , ,W2 5BU,51.516104,-0.1990139
Candeal,Salvador -Ba 40.296.220,Brasil,-12.9942097,-38.4780699
 , ,N15 5JJ,51.5832849,-0.0820256
London, ,W1U 6BS,51.5214803,-0.1583978
 , ,N15 5JJ,51.5832849,-0.0820256
 , ,W9 2QR,51.5251813,-0.1893432
 , ,W1K 5JH,51.512947,-0.1487257
London, ,W1S 1FS,51.5129285,-0.1430049
 , , ,40.7127837,-74.0059413
 , ,SE15 6NT,51.4806474,-0.072365
London, ,SW7 4XL,51.495601,-0.1879081
 , ,SE15 55x,40.7127837,-74.0059413
Hets, ,SG6 2BQ,51.9700601,-0.2148198
Apt 401,Brasilia-of-brasil,70673401,-15.7877178,-47.9079865
 , ,V9E 2AS,48.527525,-123.4618853
 , ,DN34 5XW,53.558992,-0.1139688
Chort,"Farnham, Surrey",GV10 2QE,51.146198,-0.7987743
 , ,W2 2RW,51.51653,-0.169609
 , ,W1G 7BF,51.5214539,-0.1464491
 , ,W11 2BE,51.5150855,-0.2035508
London, ,W2 6HR,51.5168566,-0.1825101
 , ,N1 2AL,51.543463,-0.0995211
London, ,N5 1FN,51.5584192,-0.1035141
 , ,W2 6DQ,51.5195628,-0.1804643
London , ,W9 1DJ,51.5304432,-0.1871016
Bermondsey, ,SE16 3YA,51.4939658,-0.0680144
 , , ,40.7127837,-74.0059413
 , ,SW4 0TR,51.4597574,-0.137753
South Africa, ,2194,-26.096295,27.9893301
 , ,E17 8BD,51.578457,-0.030516
Reem Island,"Abu Dhabi, UAE", ,24.4942437,54.4068603
North Somerset, ,BS23 4JQ,51.3305275,-2.9766959
 , ,EH49 6ER,55.9738717,-3.6117547
 , ,SW4 6PB,51.4710349,-0.1290263
Middlesbrough, ,TS7 0GG,54.5149503,-1.1713175
 , ,SE2 0BT,51.4880473,0.1174658
Oxfordshire, ,OX16 9NH,52.0537506,-1.3519152
Sunningdale, ,SL5 0LD,51.3958099,-0.6188528
West Alvington,Devon,TQ7 3QB,50.2800774,-3.7920766
London, ,SW3 3JD,51.4909312,-0.1634608
London, ,W9 1DG,51.5266782,-0.1925443
Cornwall, ,TR1 1BA,50.2679923,-5.0474934
 , ,S7 1LS,53.3655141,-1.4817317
 , ,W3 6JL,51.515265,-0.2638456
Reading, ,RG6 7NB,51.4349653,-0.9247795
London, ,SW5 9NL,51.4914998,-0.1948699
London, ,SW8 2LP,51.4863361,-0.1253897
 , ,EC1N 2LE,51.5177114,-0.1102791
London, ,W1J 6BD,51.5098781,-0.1445844
 , ,NW7 2AS,51.6111789,-0.2482445
London, ,W2 2YE,51.5139516,-0.1657346
 , ,SW6 6JS,51.4802447,-0.2197969
 , ,W11 4PP,51.5109868,-0.2136846
London, ,SW8 4SS,51.478079,-0.1297749
 , ,N22 7BP,51.5981752,-0.1236756
 , ,W1K 3SQ,51.5108664,-0.1490838
 , ,W11 2LR,51.5118229,-0.2083629
 , ,WC2E 7RS,51.5111367,-0.1225271
London, ,SW6 4QJ,51.4774084,-0.1925173
 , , ,40.7127837,-74.0059413
 , ,W8 7QF,51.5021384,-0.1995789
London, ,W2 3AA,51.5131802,-0.1826132
 , ,W4 3PQ,51.4842032,-0.2777287
 , ,NW3 1TX,51.5564897,-0.1757806
 , ,SL2 2ET,51.5337911,-0.6332225
Cambridge,CB3 0NE, ,52.2253282,0.0919271
"Central, Hong Kong", , ,22.2799907,114.1587983
 , ,NW8 7DX,51.5320157,-0.1684977
 , , ,40.7127837,-74.0059413
 , ,PO19 7YA,50.8329614,-0.7554543
 , ,NW2 1SB,51.5630292,-0.2086016
 , ,SW6 4NS,51.4709551,-0.2103243
Brunei, , ,4.535277,114.727669
London, ,W1S 1HU,51.5142873,-0.1447656
 , ,PO1 2QF,50.7936918,-1.0955728
 , ,W1K 3AT,51.5108557,-0.1495454
London, ,SW8 4SS,51.478079,-0.1297749
 , ,W1U 3PL,51.5162225,-0.1528591
 , ,SW5 0NJ,51.4929019,-0.186661
Horsnell,GU21 4BZ, ,51.3321411,-0.5624876
 , ,N6 5AX,51.5744612,-0.1416959
 , ,SW11 5PH,51.4648315,-0.1557989
Harlesden, ,NW10 4NE,51.5364783,-0.247538
London, ,N3 1RR,51.5968349,-0.2035322
 , ,SW7 4AX,51.4963609,-0.1841322
London, ,HA8 8AD,51.6203881,-0.291646
London, ,NW8 7PX,51.5353881,-0.1650604
London, ,SW7 3ES,51.4939554,-0.1751521
 , ,M13 0ZP,53.4556223,-2.2083382
Cambs, ,CB22 4PF,52.1157617,0.1340734
Essex, ,SS6 9QP,51.6004054,0.6029146
 , ,SW14 8ER,51.4686689,-0.2652262
 , ,SW1X 9EL,51.4976612,-0.156808
Rickmansworth, ,WD3 4LS,51.667805,-0.4649669
London, ,NW3 9JJ,51.5516894,-0.1706111
 , ,W1J 7RJ,51.5056383,-0.147725
 , , ,40.7127837,-74.0059413
Wigan, ,WN6  0JS,53.5855928,-2.6611969
 , , ,40.7127837,-74.0059413
 , ,W1J 5DB,51.5086052,-0.1459763
London, ,W5 4NH,51.5013953,-0.293016
London, ,EC2A 3AA,51.5247373,-0.0799891
Russia, , ,61.52401,105.318756
London, ,N16 0LH,51.5625842,-0.0737928
Essex, ,CO11 2UP,51.9364286,1.1157551
Hambledon,Waterlooville,PO7 4RY,50.9350706,-1.0778057
London, ,W2 2NW,51.5135743,-0.1697851
London, ,W11 2NT,51.5118239,-0.207844
 , ,N1 6AN,51.5298872,-0.0864188
 , ,N4 3QQ,51.5711546,-0.1148026
Woking,Surrey,GU21 6AD,51.3217031,-0.5553512
 , ,SW7 5QX,51.4934873,-0.1797518
175 Church Street East,"Working, Surrey",GU21 6AD,51.3215368,-0.5551739
 , ,W9 1TQ,51.5269543,-0.1789797
 ,Epsom,KT17 3EQ,51.346934,-0.2361108
 , , ,40.7127837,-74.0059413
USA,30309, ,40.7127837,-74.0059413
London, ,SW3 6NA,51.4868698,-0.1711427
 , ,SW1X 8AL,51.4968118,-0.152549
London, ,E2 8LW,51.5336246,-0.0735737
Hartley,Wintney,RG27 8HL,51.2992284,-0.9137958
 , ,SW7 3BY,51.4901244,-0.1797705
London, ,E7 9PN,51.5409417,0.0243222
The Netherlands, , ,52.132633,5.291266
 , ,N6 5DR,51.5753384,-0.1335062
 , ,SW19 2DU,51.4172498,-0.1729017
London, ,W1S 2ET,51.511961,-0.1409689
London, ,SE1 2RE,51.5041762,-0.079744
57 St Marychurch Street,London,SE16 4HT,51.5009928,-0.055126
32-66 High Street,London,E15 2NY,51.5316805,-0.0114948
 , ,SW4 9AS,51.4556721,-0.15434
 , ,NN515 7HT,40.7127837,-74.0059413
Netherlands, ,2244AM,52.113266,4.350031
London, ,NW6 7RH,51.5401937,-0.2012932
PO Box 505080,Dubai Unit Arab Emirates, ,40.7127837,55.2707828
 , ,SW4 9AS,51.4556721,-0.15434
